,battery_type,brand,car_body_type,cargo_volume_l,drivetrain,fast_charge_port,model,segment,source_url,top_speed_kmh,battery_capacity_kWh,torque_nm,efficiency_wh_per_km,range_km,acceleration_0_100_s,fast_charging_power_kw_dc,towing_capacity_kg,seats,length_mm,width_mm,height_mm
34,Lithium-ion,Audi,Sedan,350,AWD,CCS,e-tron GT RS,F - Luxury,https://ev-database.org/car/2220/Audi-e-tron-GT-RS,250.0,97.0,865.0,184.0,525.0,2.8,281.0,0.0,4.0,4997.0,1964.0,1389.0
35,Lithium-ion,Audi,Sedan,350,AWD,CCS,e-tron GT RS performance,F - Luxury,https://ev-database.org/car/2221/Audi-e-tron-GT-RS-performance,250.0,97.0,1027.0,182.0,525.0,2.5,281.0,0.0,4.0,4997.0,1964.0,1389.0
36,Lithium-ion,Audi,Sedan,405,AWD,CCS,e-tron GT S,F - Luxury,https://ev-database.org/car/2219/Audi-e-tron-GT-S,245.0,97.0,740.0,172.0,540.0,3.4,281.0,0.0,4.0,5004.0,1964.0,1394.0
37,Lithium-ion,Audi,Sedan,405,AWD,CCS,e-tron GT quattro,F - Luxury,https://ev-database.org/car/3182/Audi-e-tron-GT-quattro,245.0,97.0,625.0,169.0,540.0,4.0,281.0,0.0,4.0,5004.0,1964.0,1394.0
38,Lithium-ion,BMW,Liftback Sedan,470,AWD,CCS,i4 M50,D - Large,https://ev-database.org/car/2201/BMW-i4-M50,225.0,81.3,795.0,197.0,450.0,3.9,131.0,1600.0,5.0,4783.0,1852.0,1448.0
39,Lithium-ion,BMW,Liftback Sedan,470,RWD,CCS,i4 eDrive35,D - Large,https://ev-database.org/car/2198/BMW-i4-eDrive35,190.0,67.1,400.0,174.0,430.0,6.0,95.0,1600.0,5.0,4783.0,1852.0,1448.0
40,Lithium-ion,BMW,Liftback Sedan,470,RWD,CCS,i4 eDrive40,D - Large,https://ev-database.org/car/2199/BMW-i4-eDrive40,190.0,81.3,430.0,174.0,515.0,5.6,131.0,1600.0,5.0,4783.0,1852.0,1448.0
41,Lithium-ion,BMW,Liftback Sedan,470,AWD,CCS,i4 xDrive40,D - Large,https://ev-database.org/car/2200/BMW-i4-xDrive40,200.0,81.3,600.0,183.0,490.0,5.1,131.0,1600.0,5.0,4783.0,1852.0,1448.0
42,Lithium-ion,BMW,Sedan,490,AWD,CCS,i5 M60 xDrive Sedan (MY25),E - Executive,https://ev-database.org/car/3114/BMW-i5-M60-xDrive-Sedan,230.0,81.2,795.0,172.0,430.0,3.8,136.0,2000.0,5.0,5060.0,1900.0,1505.0
43,Lithium-ion,BMW,Station/Estate,570,AWD,CCS,i5 M60 xDrive Touring (MY25),E - Executive,https://ev-database.org/car/3117/BMW-i5-M60-xDrive-Touring,230.0,81.2,795.0,179.0,425.0,3.9,136.0,2000.0,5.0,5060.0,1900.0,1505.0
44,Lithium-ion,BMW,Sedan,490,RWD,CCS,i5 eDrive40 Sedan (MY25),E - Executive,https://ev-database.org/car/3112/BMW-i5-eDrive40-Sedan,193.0,81.2,400.0,159.0,480.0,6.0,136.0,1500.0,5.0,5060.0,1900.0,1515.0
45,Lithium-ion,BMW,Station/Estate,570,RWD,CCS,i5 eDrive40 Touring (MY25),E - Executive,https://ev-database.org/car/3115/BMW-i5-eDrive40-Touring,193.0,81.2,400.0,165.0,465.0,6.1,136.0,1500.0,5.0,5060.0,1900.0,1515.0
46,Lithium-ion,BMW,Sedan,490,AWD,CCS,i5 xDrive40 Sedan (MY25),E - Executive,https://ev-database.org/car/3113/BMW-i5-xDrive40-Sedan,215.0,81.2,590.0,167.0,465.0,5.4,136.0,2000.0,5.0,5060.0,1900.0,1515.0
47,Lithium-ion,BMW,Station/Estate,570,AWD,CCS,i5 xDrive40 Touring (MY25),E - Executive,https://ev-database.org/car/3116/BMW-i5-xDrive40-Touring,215.0,81.2,590.0,174.0,450.0,5.5,136.0,2000.0,5.0,5060.0,1900.0,1515.0
48,Lithium-ion,BMW,Sedan,500,AWD,CCS,i7 M70 xDrive,F - Luxury,https://ev-database.org/car/1838/BMW-i7-M70-xDrive,250.0,101.7,1100.0,208.0,490.0,3.7,159.0,0.0,5.0,5391.0,1950.0,1544.0
49,Lithium-ion,BMW,Sedan,500,RWD,CCS,i7 eDrive50,F - Luxury,https://ev-database.org/car/1905/BMW-i7-eDrive50,205.0,101.7,650.0,177.0,520.0,5.5,159.0,0.0,5.0,5391.0,1950.0,1544.0
50,Lithium-ion,BMW,Sedan,500,AWD,CCS,i7 xDrive60,F - Luxury,https://ev-database.org/car/1676/BMW-i7-xDrive60,240.0,101.7,745.0,172.0,510.0,4.7,159.0,2000.0,5.0,5391.0,1950.0,1544.0
51,Lithium-ion,BMW,SUV,500,AWD,CCS,iX M70 xDrive,JE - Executive,https://ev-database.org/car/3111/BMW-iX-M70-xDrive,250.0,108.9,1015.0,209.0,500.0,3.8,150.0,2500.0,5.0,4965.0,1970.0,1695.0
52,Lithium-ion,BMW,SUV,500,AWD,CCS,iX xDrive45,JE - Executive,https://ev-database.org/car/3109/BMW-iX-xDrive45,200.0,94.8,700.0,193.0,470.0,5.1,115.0,2500.0,5.0,4965.0,1970.0,1695.0
53,Lithium-ion,BMW,SUV,500,AWD,CCS,iX xDrive60,JE - Executive,https://ev-database.org/car/3110/BMW-iX-xDrive60,200.0,109.1,765.0,194.0,525.0,4.6,150.0,2500.0,5.0,4965.0,1970.0,1695.0
54,Lithium-ion,BMW,SUV,490,FWD,CCS,iX1 eDrive20,JC - Medium,https://ev-database.org/car/1996/BMW-iX1-eDrive20,170.0,64.7,247.0,150.0,390.0,8.3,94.0,750.0,5.0,4500.0,1845.0,1616.0
55,Lithium-ion,BMW,SUV,490,AWD,CCS,iX1 xDrive30,JC - Medium,https://ev-database.org/car/1701/BMW-iX1-xDrive30,180.0,64.7,494.0,155.0,380.0,5.6,94.0,1200.0,5.0,4500.0,1845.0,1616.0
56,Lithium-ion,BMW,SUV,525,FWD,CCS,iX2 eDrive20,JC - Medium,https://ev-database.org/car/2097/BMW-iX2-eDrive20,170.0,64.7,247.0,147.0,395.0,8.6,94.0,750.0,5.0,4554.0,1845.0,1560.0
57,Lithium-ion,BMW,SUV,525,AWD,CCS,iX2 xDrive30,JC - Medium,https://ev-database.org/car/2040/BMW-iX2-xDrive30,180.0,64.7,494.0,155.0,385.0,5.6,94.0,1200.0,5.0,4554.0,1845.0,1560.0
58,Lithium-ion,BYD,SUV,400,FWD,CCS,ATTO 2,JB - Compact,https://ev-database.org/car/3125/BYD-ATTO-2,160.0,45.1,290.0,145.0,245.0,7.9,51.0,750.0,5.0,4310.0,1830.0,1675.0
59,Lithium-ion,BYD,SUV,440,FWD,CCS,ATTO 3 (MY25),JC - Medium,https://ev-database.org/car/3192/BYD-ATTO-3,160.0,60.5,310.0,144.0,340.0,7.3,75.0,750.0,5.0,4455.0,1875.0,1615.0
60,Lithium-ion,BYD,Hatchback,345,FWD,CCS,DOLPHIN 44.9 kWh Active,C - Medium,https://ev-database.org/car/1917/BYD-DOLPHIN-449-kWh-Active,150.0,44.9,180.0,132.0,265.0,12.3,50.0,0.0,5.0,4290.0,1770.0,1570.0
61,Lithium-ion,BYD,Hatchback,345,FWD,CCS,DOLPHIN 44.9 kWh Boost,C - Medium,https://ev-database.org/car/1918/BYD-DOLPHIN-449-kWh-Boost,160.0,44.9,498.0127388535032,145.0,260.0,8.0,50.0,0.0,5.0,4290.0,1770.0,1570.0
62,Lithium-ion,BYD,Hatchback,345,FWD,CCS,DOLPHIN 60.4 kWh,C - Medium,https://ev-database.org/car/1919/BYD-DOLPHIN-604-kWh,160.0,60.5,310.0,142.0,350.0,7.0,65.0,0.0,5.0,4290.0,1770.0,1570.0
63,Lithium-ion,BYD,Hatchback,308,FWD,CCS,DOLPHIN SURF 30 kWh Active,B - Compact,https://ev-database.org/car/3193/BYD-DOLPHIN-SURF-30-kWh-Active,150.0,30.0,175.0,136.0,190.0,11.1,45.0,0.0,4.0,3990.0,1720.0,1590.0
64,Lithium-ion,BYD,Hatchback,308,FWD,CCS,DOLPHIN SURF 43.2 kWh Boost,B - Compact,https://ev-database.org/car/3194/BYD-DOLPHIN-SURF-432-kWh-Boost,150.0,43.2,175.0,134.0,270.0,12.1,60.0,0.0,4.0,3990.0,1720.0,1590.0
65,Lithium-ion,BYD,Hatchback,308,FWD,CCS,DOLPHIN SURF 43.2 kWh Comfort,B - Compact,https://ev-database.org/car/3195/BYD-DOLPHIN-SURF-432-kWh-Comfort,150.0,43.2,220.0,139.0,265.0,9.1,60.0,0.0,4.0,3990.0,1720.0,1590.0
66,Lithium-ion,BYD,Sedan,400,RWD,CCS,SEAL 61.4 kWh RWD Comfort,D - Large,https://ev-database.org/car/3102/BYD-SEAL-614-kWh-RWD-Comfort,220.0,61.4,380.0,133.0,365.0,7.5,75.0,750.0,5.0,4800.0,1875.0,1460.0
67,Lithium-ion,BYD,Sedan,400,AWD,CCS,SEAL 82.5 kWh AWD Excellence,D - Large,https://ev-database.org/car/2002/BYD-SEAL-825-kWh-AWD-Excellence,180.0,82.5,670.0,159.0,445.0,3.8,100.0,1500.0,5.0,4800.0,1875.0,1460.0
68,Lithium-ion,BYD,Sedan,400,RWD,CCS,SEAL 82.5 kWh RWD Design,D - Large,https://ev-database.org/car/2001/BYD-SEAL-825-kWh-RWD-Design,180.0,82.5,360.0,145.0,480.0,5.9,100.0,750.0,5.0,4800.0,1875.0,1460.0
69,Lithium-ion,BYD,SUV,552,FWD,CCS,SEAL U 71.8 kWh Comfort,JD - Large,https://ev-database.org/car/2094/BYD-SEAL-U-718-kWh-Comfort,175.0,71.8,310.0,171.0,360.0,9.3,72.0,1300.0,5.0,4785.0,1890.0,1668.0
70,Lithium-ion,BYD,SUV,552,FWD,CCS,SEAL U 87 kWh Design,JD - Large,https://ev-database.org/car/2067/BYD-SEAL-U-87-kWh-Design,175.0,87.0,330.0,174.0,425.0,9.6,85.0,1300.0,5.0,4785.0,1890.0,1668.0
71,Lithium-ion,BYD,SUV,520,AWD,CCS,SEALION 7 82.5 kWh AWD Design,JD - Large,https://ev-database.org/car/3071/BYD-SEALION-7-825-kWh-AWD-Design,215.0,82.5,690.0,181.0,400.0,4.5,115.0,1500.0,5.0,4830.0,1925.0,1620.0
72,Lithium-ion,BYD,SUV,520,RWD,CCS,SEALION 7 82.5 kWh RWD Comfort,JD - Large,https://ev-database.org/car/3070/BYD-SEALION-7-825-kWh-RWD-Comfort,215.0,82.5,380.0,171.0,415.0,6.7,115.0,750.0,5.0,4830.0,1925.0,1620.0
73,Lithium-ion,BYD,SUV,520,AWD,CCS,SEALION 7 91.3 kWh AWD Excellence,JD - Large,https://ev-database.org/car/3072/BYD-SEALION-7-913-kWh-AWD-Excellence,215.0,91.3,690.0,182.0,430.0,4.5,165.0,1500.0,5.0,4830.0,1925.0,1620.0
74,Lithium-ion,BYD,SUV,235,AWD,CCS,TANG Flagship,JE - Executive,https://ev-database.org/car/2095/BYD-TANG-Flagship,190.0,108.8,700.0,205.0,460.0,4.9,100.0,1500.0,7.0,4970.0,1955.0,1745.0
75,Lithium-ion,CUPRA,Hatchback,385,RWD,CCS,Born 170 kW - 59 kWh,C - Medium,https://ev-database.org/car/2233/CUPRA-Born-170-kW---59-kWh,160.0,59.0,310.0,156.0,360.0,6.7,110.0,0.0,5.0,4322.0,1809.0,1540.0
76,Lithium-ion,CUPRA,Hatchback,385,RWD,CCS,Born 170 kW - 77 kWh,C - Medium,https://ev-database.org/car/2234/CUPRA-Born-170-kW---77-kWh,160.0,77.0,310.0,157.0,460.0,7.0,125.0,0.0,5.0,4322.0,1809.0,1540.0
77,Lithium-ion,CUPRA,Hatchback,385,RWD,CCS,Born VZ,C - Medium,https://ev-database.org/car/2128/CUPRA-Born-VZ,200.0,79.0,545.0,149.0,465.0,5.6,135.0,0.0,5.0,4322.0,1809.0,1538.0
78,Lithium-ion,CUPRA,SUV,540,RWD,CCS,Tavascan Endurance,JC - Medium,https://ev-database.org/car/1971/CUPRA-Tavascan-Endurance,180.0,77.0,545.0,142.0,445.0,6.8,120.0,1000.0,5.0,4644.0,1861.0,1597.0
79,Lithium-ion,CUPRA,SUV,540,AWD,CCS,Tavascan VZ,JC - Medium,https://ev-database.org/car/1972/CUPRA-Tavascan-VZ,180.0,77.0,545.0,150.0,425.0,5.5,120.0,1200.0,5.0,4644.0,1861.0,1597.0
80,Lithium-ion,Cadillac,SUV,793,AWD,CCS,Lyriq 600 E4,JF - Luxury,https://ev-database.org/car/2243/Cadillac-Lyriq-600-E4,210.0,102.0,610.0,192.0,460.0,5.3,165.0,1587.0,5.0,5005.0,1977.0,1623.0
81,Lithium-ion,Citroen,Small Passenger Van,775,FWD,CCS,e-Berlingo M 50 kWh,N - Passenger Van,https://ev-database.org/car/2159/Citroen-e-Berlingo-M-50-kWh,132.0,50.0,260.0,149.0,235.0,11.7,80.0,750.0,5.0,4403.0,1921.0,1803.0
82,Lithium-ion,Citroen,Small Passenger Van,1050,FWD,CCS,e-Berlingo XL 50 kWh,N - Passenger Van,https://ev-database.org/car/2160/Citroen-e-Berlingo-XL-50-kWh,132.0,50.0,260.0,149.0,230.0,11.7,80.0,750.0,7.0,4753.0,1921.0,1814.0
83,Lithium-ion,Citroen,Hatchback,310,FWD,CCS,e-C3,B - Compact,https://ev-database.org/car/2039/Citroen-e-C3,135.0,44.0,120.0,135.0,255.0,11.5,60.0,550.0,5.0,4015.0,1755.0,1577.0
84,Lithium-ion,Citroen,SUV,460,FWD,CCS,e-C3 Aircross,JB - Compact,https://ev-database.org/car/2224/Citroen-e-C3-Aircross,145.0,44.0,125.0,144.0,240.0,12.9,60.0,350.0,5.0,4395.0,1795.0,1660.0
85,Lithium-ion,Citroen,Hatchback,380,FWD,CCS,e-C4,C - Medium,https://ev-database.org/car/3047/Citroen-e-C4,150.0,46.3,260.0,135.0,285.0,9.9,78.0,0.0,5.0,4360.0,1834.0,1525.0
86,Lithium-ion,Citroen,Hatchback,380,FWD,CCS,e-C4 54 kWh,C - Medium,https://ev-database.org/car/3048/Citroen-e-C4-54-kWh,150.0,50.8,260.0,122.0,325.0,9.1,78.0,0.0,5.0,4360.0,1834.0,1525.0
87,Lithium-ion,Citroen,Sedan,510,FWD,CCS,e-C4 X,C - Medium,https://ev-database.org/car/3049/Citroen-e-C4-X,150.0,46.3,260.0,132.0,290.0,9.9,78.0,0.0,5.0,4600.0,1834.0,1525.0
88,Lithium-ion,Citroen,Sedan,510,FWD,CCS,e-C4 X 54 kWh,C - Medium,https://ev-database.org/car/3050/Citroen-e-C4-X-54-kWh,150.0,50.8,260.0,119.0,335.0,9.1,78.0,0.0,5.0,4600.0,1834.0,1525.0
89,Lithium-ion,Citroen,Small Passenger Van,603,FWD,CCS,e-SpaceTourer M 50 kWh,N - Passenger Van,https://ev-database.org/car/2252/Citroen-e-SpaceTourer-M-50-kWh,130.0,46.3,220.0,217.0,180.0,13.3,78.0,1000.0,9.0,4983.0,1920.0,1890.0
90,Lithium-ion,Citroen,Small Passenger Van,603,FWD,CCS,e-SpaceTourer M 75 kWh,N - Passenger Van,https://ev-database.org/car/2254/Citroen-e-SpaceTourer-M-75-kWh,130.0,68.0,220.0,202.0,260.0,14.2,79.0,1000.0,9.0,4983.0,1920.0,1890.0
91,Lithium-ion,Citroen,Small Passenger Van,989,FWD,CCS,e-SpaceTourer XL 50 kWh,N - Passenger Van,https://ev-database.org/car/2253/Citroen-e-SpaceTourer-XL-50-kWh,130.0,46.3,220.0,219.0,180.0,13.3,78.0,1000.0,9.0,5333.0,1920.0,1890.0
92,Lithium-ion,Citroen,Small Passenger Van,989,FWD,CCS,e-SpaceTourer XL 75 kWh,N - Passenger Van,https://ev-database.org/car/2255/Citroen-e-SpaceTourer-XL-75-kWh,130.0,68.0,220.0,204.0,260.0,14.2,79.0,1000.0,9.0,5333.0,1920.0,1890.0
93,Lithium-ion,DS,SUV,350,FWD,CCS,3 E-Tense,JB - Compact,https://ev-database.org/car/1791/DS-3-E-Tense,150.0,50.8,260.0,128.0,300.0,9.0,85.0,0.0,5.0,4118.0,1802.0,1534.0
94,Lithium-ion,DS,Hatchback,390,FWD,CCS,N°4 E-Tense,JC - Medium,https://ev-database.org/car/3200/DS-N4-E-Tense,160.0,58.3,345.0,130.0,375.0,7.1,70.0,0.0,5.0,4400.0,1866.0,1470.0
95,Lithium-ion,DS,SUV,620,AWD,CCS,N°8 AWD Long Range,JD - Large,https://ev-database.org/car/3078/DS-N8-AWD-Long-Range,190.0,97.2,511.0,146.0,530.0,5.4,130.0,1400.0,5.0,4834.0,1920.0,1574.0
96,Lithium-ion,DS,SUV,620,FWD,CCS,N°8 FWD,JD - Large,https://ev-database.org/car/3076/DS-N8-FWD,190.0,73.7,345.0,141.0,415.0,7.7,100.0,1260.0,5.0,4834.0,1920.0,1574.0
97,Lithium-ion,DS,SUV,620,FWD,CCS,N°8 FWD Long Range,JD - Large,https://ev-database.org/car/3077/DS-N8-FWD-Long-Range,190.0,97.2,345.0,136.0,545.0,7.8,130.0,1200.0,5.0,4834.0,1920.0,1574.0
98,Lithium-ion,Dacia,Hatchback,308,FWD,CCS,Spring Electric 45,A - Mini,https://ev-database.org/car/2126/Dacia-Spring-Electric-45,125.0,25.0,125.0,109.0,165.0,19.1,29.0,0.0,4.0,3700.0,1622.0,1516.0
99,Lithium-ion,Dacia,Hatchback,308,FWD,CCS,Spring Electric 65,A - Mini,https://ev-database.org/car/2127/Dacia-Spring-Electric-65,125.0,25.0,113.0,114.0,160.0,13.7,29.0,0.0,4.0,3700.0,1622.0,1516.0
100,Lithium-ion,Dongfeng,Hatchback,326,FWD,CCS,Box 31.4 kWh,B - Compact,https://ev-database.org/car/3035/Dongfeng-Box-314-kWh,140.0,29.0,160.0,126.0,190.0,12.5,50.0,1052.2610619469026,5.0,4020.0,1810.0,1570.0
101,Lithium-ion,Dongfeng,Hatchback,326,FWD,CCS,Box 42.3 kWh,B - Compact,https://ev-database.org/car/3036/Dongfeng-Box-423-kWh,140.0,40.0,160.0,129.0,255.0,12.5,51.0,1052.2610619469026,5.0,4020.0,1810.0,1570.0
102,Lithium-ion,Elaris,SUV,467,FWD,CCS,BEO 86 kWh,JD - Large,https://ev-database.org/car/1975/Elaris-BEO-86-kWh,150.0,81.0,320.0,203.0,390.0,9.5,65.0,1052.2610619469026,5.0,4698.0,1908.0,1696.0
